,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
235,1,1,0,1,1,0,0,1,3,3,0,0,0,0,0,7,0,0,1,1,5,2,6,0,14878524.357122589,171860109.56379962,946900000.0,841.6264299895837,0.0017802249029158714,0.0,0.0
236,1,1,0,1,0,0,0,0,3,5,0,0,0,3,0,0,0,5,7,6,6,1,7,0,178491047.26381344,251020664.2924312,684900000.0,9890.515593392614,0.0005844106460486626,0.036857022312841985,0.0
237,0,1,0,1,0,0,0,0,0,1,3,0,3,0,0,3,3,0,2,7,3,2,0,0,823313214.3746992,236838246.50370145,267200000.0,0.0,0.626097641663342,0.0,0.0
238,0,1,0,0,0,0,0,0,0,5,0,5,0,2,0,3,4,0,1,1,0,1,0,0,1122771276.5480297,251933410.45421627,61400000.0,0.0,0.7996784086554805,0.0008735556380370087,0.011617416298574572
239,0,0,0,0,0,0,0,0,0,7,0,0,3,2,0,1,3,0,1,7,0,4,0,2,518480494.8799895,294657697.5500471,417700000.0,0.0,0.0,1.0211124960862838,0.0
240,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,6,7,1,1,0,2977468888.811054,177749979.13468757,0.0,0.0,1.1919500483056829,2.2474044299476117,0.0
241,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,3,6,6,1,4,0,5,2609973695.8826604,163736097.21859363,423600000.0,33329.73902698379,0.2042189530691173,0.011283318700599676,0.0
242,0,1,1,0,0,0,0,0,1,0,2,0,7,0,0,6,3,0,2,6,2,7,0,0,923934237.7413707,246152495.54545295,454300000.0,6033.54182981084,0.2476812518127451,0.0,0.0
243,1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,1,1,0,3,0,1,255534090.84151325,201335768.75014764,485000000.0,0.0,0.0294803168464486,0.3843243679751246,0.0
244,1,0,0,0,0,0,0,0,0,7,0,0,0,2,3,4,0,4,0,0,1,1,0,0,47370843.63962117,250088540.26420978,146000000.0,0.0,0.0190530345865593,0.04024989671386958,0.0
245,1,0,0,0,0,0,0,0,3,10,0,4,7,3,0,6,0,0,5,6,6,0,2,0,58460182.549341805,399056382.06183255,30700000.0,3578.2899369714905,0.0,0.0065779563570172225,0.00400712138870169
246,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,1,1,0,0,3,5,1,0,0,2604799817.9930935,237691198.33425036,0.0,0.0,1.2894869216701192,1.332926826378109,0.0
247,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,6,3,2,0,0,1932676084.747905,92172759.75815162,672100000.0,61559.958537261744,0.07184179996946866,0.317221603803386,0.0
248,0,0,0,0,0,0,0,0,3,0,0,7,1,2,0,1,0,0,1,2,6,0,0,0,2731991883.139024,198789714.035398,84600000.0,74576.66226005208,0.13691535794097118,0.21811227895270505,0.0
249,0,0,0,0,0,0,0,0,3,7,0,0,7,2,0,0,0,7,6,1,0,5,0,0,1239028007.7700582,286843976.819593,417700000.0,68158.17671795584,0.0,0.26271312400550356,0.0
250,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,7,2,6,2,4,0,0,2559655239.6971784,141281150.58896655,485000000.0,24776.813904037157,0.25527369133639666,0.0,0.0
251,0,1,0,0,1,0,0,0,0,3,0,5,0,2,0,3,4,0,1,1,7,0,0,0,1827563559.7078743,226318694.73029798,151900000.0,0.0,1.2879232078301448,0.0,0.009871901851109154
252,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,3,4,4,5,6,1,0,0,1032687708.0301147,221361554.63876933,0.0,51178.75323495897,0.015650882488004704,0.2002610594778364,0.0
253,1,1,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,2,0,1,0,3,0,1,663476409.1619841,239476141.43999267,176700000.0,0.0,0.47151055295780964,0.08976149073572412,0.0
254,0,1,0,0,0,0,0,0,0,4,0,3,3,2,0,0,4,0,1,6,0,4,0,1,609330359.5335363,299182006.34777486,333100000.0,0.0,0.0,1.1993373010189536,0.0
255,1,1,0,1,0,0,0,0,0,2,0,0,0,2,0,1,7,0,1,2,0,2,0,1,273027336.2300859,204023037.05166832,515700000.0,0.0,0.18109291143178236,0.0012786355885692447,0.0
256,0,0,0,0,0,0,0,0,3,3,0,3,0,1,0,0,3,7,1,1,9,3,0,0,1956975466.2630897,251976729.47929183,30700000.0,28306.197923409356,0.15824178850201231,0.022117106983744545,0.0
257,0,0,0,0,1,1,0,0,1,3,0,3,0,3,0,2,3,0,1,0,7,7,0,0,1863979008.7361932,250222092.62977785,408000000.0,10881.185748493323,0.47472536550603706,0.00047662193000687895,0.0
258,1,1,0,0,0,0,0,0,1,7,0,0,0,2,3,5,0,4,3,0,2,2,0,0,36483769.95980495,266298879.6368152,92100000.0,966.692808178745,0.0032785591691654754,0.0,0.00871927456075268
259,0,0,0,0,0,0,0,0,3,6,3,0,0,2,0,0,3,3,2,5,0,1,0,0,970528494.7492678,250443250.5935348,0.0,51560.71943498909,0.008310864419523419,0.2069989984354141,0.0
260,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,7,0,1,1,3,4,0,0,2559655239.6971784,189557118.48699528,485000000.0,0.0,1.7018246089093112,0.0,0.0
261,0,1,0,0,0,0,0,0,3,9,0,0,3,3,0,5,3,7,2,1,3,5,3,3,9296981.449105373,423956656.58828354,61400000.0,531.5346376558575,0.0,0.00222574224542877,0.0
262,0,1,0,0,0,0,0,0,3,0,0,0,1,2,0,7,0,0,3,3,5,2,0,0,34082133.31032938,175670892.89649513,666200000.0,2080.112534380375,0.0006054051742030156,0.0,0.003244928198681703
263,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,4,1,7,1,1,0,1631741486.8333812,208560861.85507253,115300000.0,0.0,0.024717535232886636,2.744724268628876,0.0
