,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10699,,4338025.865287925,389229068.71292466,30700000.0,138.28421446997098,0.0018619444290040477,0.0,0.0
10700,,6325156.702691688,389229068.71292466,30700000.0,183.01587199466414,0.0018634813952752708,0.0,0.0005010101084864324
10701,,35109706.19181102,389229068.71292466,30700000.0,911.5680932470586,0.011238858696808459,0.0,0.0
10702,,72065594.42955098,389229068.71292466,30700000.0,2974.9923879131215,0.005121697420176754,0.0,0.02779466212944022
10703,,143879431.24766764,389229068.71292466,30700000.0,4840.686345846526,0.001844780610316752,0.0008530422343139687,0.048835355213182184
10704,,38900605.143337764,389229068.71292466,30700000.0,1510.233162811651,0.0004132879873722821,0.0,0.01623498537583957
10705,,34218427.63285917,389229068.71292466,30700000.0,1455.6673618476996,0.00018413861236785519,0.0,0.015769962015918345
10706,,4295407.778705709,389229068.71292466,30700000.0,137.31655192229954,0.001827013084973681,0.0,0.0
10707,,35704479.8932145,389229068.71292466,30700000.0,1122.56341166168,0.0,0.0037395277660142263,0.003953545205172533
10708,,99173266.78541851,389229068.71292466,30700000.0,2307.913152786663,0.00521138057278354,0.0037806576387609202,0.01237323831519297
10709,,49581516.05108324,389229068.71292466,30700000.0,1185.4570900801527,0.0018474624800212617,0.018647431517994174,0.004684108407590501
10710,,25777597.654066928,389229068.71292466,30700000.0,906.1948653202453,0.0,0.00035110519545898856,0.009536220780354186
